date,open,high,low,close,volume
2013-01-06,13.44,13.52,13.36,13.45,171497
2013-01-07,13.45,13.59,13.4,13.59,344083
2013-01-08,13.59,13.88,13.5,13.74,587223
2013-01-09,13.74,13.86,13.62,13.77,393192
2013-01-10,13.77,14.32,13.77,14.14,727790
2013-01-11,14.14,14.35,13.91,14.14,570677
2013-01-12,14.14,14.34,13.98,14.24,381546
2013-01-13,14.24,14.31,13.95,14.12,540759
2013-01-14,14.12,14.35,14.11,14.3,315016
2013-01-15,14.3,14.48,13.99,14.25,732428
2013-01-16,14.25,14.73,14.21,14.73,660929
2013-01-17,14.73,15.7,14.63,15.5,993185
2013-01-18,15.5,15.99,15.41,15.7,879655
2013-01-19,15.7,15.77,15.25,15.62,534667
2013-01-20,15.62,15.89,15.51,15.7,408455
2013-01-21,15.7,16.98,15.63,16.799999,1007686
2013-01-22,16.799999,17.59,16.65,17.26,1045898
2013-01-23,17.26,17.59,16.799999,17.5,851188
2013-01-24,17.5,19.190001,15.61,16.9,3053222
2013-01-25,16.9,17.799999,15.39,17.4,1345890
2013-01-26,17.4,17.879998999999994,16.540001,17.879998999999994,597064
2013-01-27,17.879998999999994,18.0,17.209999,17.82,419571
2013-01-28,17.82,18.879999,17.75,18.719999,1057611
2013-01-29,18.719999,19.799999,18.700001,19.530001,1650126
2013-01-30,19.530001,19.799999,19.15,19.700001,877863
2013-01-31,19.700001,21.43,19.51,20.41,2042238
2013-02-01,20.41,21.129999,20.299999,20.5,1034619
2013-02-02,20.5,20.5,18.0,19.629999,1567325
2013-02-03,19.629999,20.9,19.42,20.59,693849
2013-02-04,20.59,21.049999,19.860001,20.43,1066570
2013-02-05,20.43,20.790001,20.200001,20.6,600949
2013-02-06,20.6,21.33,20.6,21.18,1096396
2013-02-07,21.18,22.219999,20.77,22.15,1388465
2013-02-08,22.15,22.77,22.0,22.66,1090678
2013-02-09,22.66,23.99,22.58,23.65,886034
2013-02-10,23.65,24.110001,22.67,23.969999,1321513
2013-02-11,23.969999,24.68,23.65,24.65,712458
2013-02-12,24.65,25.83,24.299999,25.17,1862561
2013-02-13,25.17,26.299999,24.190001,24.200001,2296830
2013-02-14,24.200001,27.6,21.719999,27.219999,3710262
2013-02-15,27.219999,27.51,26.1,27.1,1396017
2013-02-16,27.1,27.5,26.809999,27.219999,511421
2013-02-17,27.219999,27.4,25.0,26.809999,2033614
2013-02-18,26.809999,27.15,26.360001,26.950001,795866
2013-02-19,26.950001,29.65,26.799999,29.42,2810076
2013-02-20,29.42,29.870001,28.99,29.65,1096641
2013-02-21,29.65,29.98,29.309999,29.75,1030860
2013-02-22,29.75,31.299999,29.67,30.25,2039411
2013-02-23,30.25,30.690001,28.0,29.799999,2099763
2013-02-24,29.799999,30.4,29.200001,29.889999,722940
2013-02-25,29.889999,30.4,29.549999,30.4,805270
2013-02-26,30.4,31.700001,30.120001,31.1,1329295
2013-02-27,31.1,31.65,30.790001,30.9,951289
2013-02-28,30.9,34.52,30.9,33.380001,4136416
2013-03-01,33.380001,34.900002,32.919998,34.5,1362290
2013-03-02,34.5,34.810001,33.150002,34.25,1241775
2013-03-03,34.25,34.5,33.799999,34.5,427480
2013-03-04,34.5,36.700001,34.189999,36.150002,1659027
2013-03-05,36.150002,40.650002,36.150002,40.330002,3361374
2013-03-06,40.330002,49.099998,40.139999,41.02,5712472
2013-03-07,41.02,45.5,33.299999,42.0,6439707
2013-03-08,42.0,44.5,41.02,44.18,2032649
2013-03-09,44.18,46.990002,43.41,46.849998,2020839
2013-03-10,46.849998,47.950001,45.470001,46.0,1703124
2013-03-11,46.0,48.470001,45.540001,48.400002,1970814
2013-03-12,48.400002,48.400002,36.650002,44.290001,8014901
2013-03-13,44.290001,47.299999,43.75,46.919998,2298258
2013-03-14,46.919998,47.990002,46.049999,47.169998,1752628
2013-03-15,47.169998,47.450001,46.400002,46.950001,954285
2013-03-16,46.950001,47.360001,46.27,47.0,764861
2013-03-17,47.0,47.740002,46.799999,47.400002,660618
2013-03-18,47.400002,52.880001,47.119999,51.599998,3199314
2013-03-19,51.599998,62.0,50.0,59.139999,6187650
2013-03-20,59.139999,66.0,57.700001,64.489998,5776620
2013-03-21,64.489998,74.900002,63.099998,70.849998,6514880
2013-03-22,70.849998,73.75,65.0,69.870003,5171296
2013-03-23,69.870003,70.5,52.349998,64.349998,9429382
2013-03-24,64.349998,72.5,62.700001,71.5,2896432
2013-03-25,71.5,78.0,69.519997,73.599998,5921197
2013-03-26,73.599998,79.720001,73.110001,78.5,4377374
2013-03-27,78.5,89.5,78.400002,88.91999799999998,6129700
2013-03-28,88.91999799999998,95.699997,75.0,86.18,12261153
2013-03-29,86.18,93.059998,83.010002,90.5,7384104
2013-03-30,90.5,94.980003,87.0,92.190002,3420002
2013-03-31,92.190002,93.800003,91.0,93.029999,1959050
2013-03-31,93.029999,106.0,92.239998,104.0,9060022
2013-04-01,104.0,118.360001,99.0,117.980003,8747147
2013-04-02,117.980003,147.0,110.0,135.0,19533010
2013-04-03,135.0,142.119995,116.389999,132.119995,11624021
2013-04-04,132.119995,144.940002,130.240005,142.320007,9549088
2013-04-05,142.320007,143.899994,139.53999299999998,142.630005,2599937
2013-04-06,142.630005,164.899994,142.630005,162.300003,9402722
2013-04-07,162.300003,194.899994,162.600006,187.5,20732894
2013-04-08,187.5,240.110001,186.5,230.0,22723191
2013-04-09,230.0,266.0,105.0,165.0,35118119
2013-04-10,165.0,188.699997,110.199997,124.900002,18867223
2013-04-11,124.900002,140.0,54.25,117.0,47619189
2013-04-12,117.0,130.0,85.5,93.0,26277415
2013-04-13,93.0,110.0,84.440002,90.0,16197017
2013-04-14,90.0,102.0,71.510002,82.389999,20607774
2013-04-15,82.389999,84.5,50.009998,68.360001,37401572
2013-04-16,68.360001,98.779999,63.299999,93.07,27937764
2013-04-17,93.07,113.0,86.0,109.010002,16845410
2013-04-18,109.010002,136.429993,105.540001,118.480003,30713924
2013-04-19,118.480003,132.0,115.0,126.620003,9222871
2013-04-20,126.620003,130.5,110.0,119.199997,12044404
2013-04-21,119.199997,127.400002,118.5,127.400002,7289977
2013-04-22,127.400002,144.020004,124.970001,143.479996,15637961
2013-04-23,143.479996,166.429993,140.970001,154.199997,34351545
2013-04-24,154.199997,162.0,120.089996,141.71000700000005,26847891
2013-04-25,141.71000700000005,144.990005,121.449997,136.899994,17061324
2013-04-26,136.899994,139.880005,122.709999,128.0,7855443
2013-04-27,128.0,136.679993,127.5,134.440002,3665399
2013-04-28,134.440002,149.080002,133.0,144.0,9987126
2013-04-29,144.0,146.929993,134.0,139.229996,9124397
2013-04-30,139.229996,140.059998,104.0,116.379997,21790982
2013-05-01,116.379997,126.900002,91.110001,106.25,24937319
2013-05-02,106.25,109.0,79.0,98.099998,22502892
2013-05-03,98.099998,116.300003,92.0,112.900002,14147864
2013-05-04,112.900002,118.849998,107.0,115.980003,9557650
2013-05-05,115.980003,124.900002,106.010002,112.25,17607427
2013-05-06,112.25,114.0,97.519997,109.599998,14904474
2013-05-07,109.599998,116.779999,109.5,113.199997,6996024
2013-05-08,113.199997,113.720001,108.800003,112.800003,3010117
2013-05-09,112.800003,122.5,111.540001,117.699997,9145408
2013-05-10,117.699997,118.739998,113.0,115.639999,3240171
2013-05-11,115.639999,117.470001,112.400002,114.82,2361969
2013-05-12,114.82,118.879997,114.5,117.980003,3063381
2013-05-13,117.980003,119.800003,109.419998,111.400002,10082102
2013-05-14,111.400002,116.440002,103.019997,114.220001,13006447
2013-05-15,114.220001,118.970001,112.099998,118.209999,5222066
2013-05-16,118.209999,125.559998,116.57,123.5,9608029
2013-05-17,123.5,125.309998,122.25,123.209999,2804847
2013-05-18,123.209999,124.5,119.5,122.5,2507881
2013-05-19,122.5,123.690002,120.099998,122.019997,2118341
2013-05-20,122.019997,123.080002,121.099998,122.889999,1637410
2013-05-21,122.889999,124.5,122.0,123.800003,2252949
2013-05-22,123.800003,126.93,123.0,126.300003,2772751
2013-05-23,126.300003,133.979996,125.360001,133.100006,6333389
2013-05-24,133.100006,133.5,128.199997,131.990005,2203681
2013-05-25,131.990005,136.0,130.610001,133.5,3130389
2013-05-26,133.5,135.470001,124.0,129.770004,6056707
2013-05-27,129.770004,130.630005,125.400002,129.0,2918762
2013-05-28,129.0,132.720001,127.599998,132.25,2509796
2013-05-29,132.25,132.399994,126.5,128.800003,3195601
2013-05-30,128.800003,130.0,126.330002,128.820007,2124938
2013-05-31,128.820007,129.78999299999998,127.099998,129.300003,816323
2013-06-01,129.300003,130.100006,115.0,122.5,12335011
2013-06-02,122.5,122.779999,115.110001,120.739998,3439235
2013-06-03,120.739998,123.989998,118.790001,121.400002,2657125
2013-06-04,121.400002,123.5,119.5,121.900002,2021380
2013-06-05,121.900002,123.300003,117.0,118.970001,2646311
2013-06-06,118.970001,119.129997,106.150002,111.0,7372031
2013-06-07,111.0,113.190002,107.0,107.889999,1874098
2013-06-08,107.889999,108.989998,88.0,100.440002,14647793
2013-06-09,100.440002,110.629997,95.0,106.349998,6786321
2013-06-10,106.349998,109.599998,103.230003,109.0,1727992
2013-06-11,109.0,112.25,106.0,108.779999,1934487
2013-06-12,108.779999,110.300003,100.300003,103.949997,3204375
2013-06-13,103.949997,104.699997,97.099998,100.0,3629511
2013-06-14,100.0,103.699997,97.5,99.800003,2264105
2013-06-15,99.800003,101.75,98.900002,99.900002,865174
2013-06-16,99.900002,102.400002,98.900002,101.949997,1534858
2013-06-17,101.949997,113.300003,101.029999,107.349998,6510457
2013-06-18,107.349998,110.989998,104.660004,108.25,1895919
2013-06-19,108.25,114.480003,107.120003,111.290001,4795256
2013-06-20,111.290001,115.010002,107.559998,109.5,4241011
2013-06-21,109.5,109.959999,107.510002,108.199997,791157
2013-06-22,108.199997,109.0,106.199997,107.900002,1188748
2013-06-23,107.900002,108.330002,100.760002,102.089996,2986235
2013-06-24,102.089996,109.980003,100.0,103.330002,9760027
2013-06-25,103.330002,105.489998,101.830002,104.0,1378467
2013-06-26,104.0,104.0,100.059998,101.739998,1505488
2013-06-27,101.739998,101.790001,92.25,94.660004,4625623
2013-06-28,94.660004,100.440002,93.0,95.0,2469705
2013-06-29,95.0,98.120003,93.849998,97.510002,831721
2013-06-30,97.510002,98.18,86.010002,88.050003,4854051
2013-07-01,88.050003,92.57,87.510002,90.410004,2501192
2013-07-02,90.410004,91.199997,76.0,78.889999,6126930
2013-07-03,78.889999,84.269997,72.0,80.040001,4976159
2013-07-04,80.040001,80.599998,65.41999799999999,68.5,6478104
2013-07-05,68.5,75.0,66.809998,69.660004,2885730
2013-07-06,69.660004,77.0,66.599998,76.5,3040545
2013-07-07,76.5,80.0,72.459999,76.0,4542089
2013-07-08,76.0,78.300003,72.510002,76.699997,2462927
2013-07-09,76.699997,89.839996,75.529999,88.0,4950378
2013-07-10,88.0,90.699997,85.0,88.980003,3115116
2013-07-11,88.980003,104.169998,88.0,93.989998,9793701
2013-07-12,93.989998,98.32,87.760002,98.32,3206472
2013-07-13,98.32,99.0,92.860001,94.419998,1183919
2013-07-14,94.419998,101.940002,93.110001,98.889999,3407701
2013-07-15,98.889999,100.730003,96.0,97.099998,1626929
2013-07-16,97.099998,100.0,96.18,98.5,1702482
2013-07-17,98.5,98.800003,86.199997,90.07,5415947
2013-07-18,90.07,95.199997,87.599998,92.0,2547076
2013-07-19,92.0,93.099998,89.269997,89.82,865043
2013-07-20,89.82,92.0,88.0,92.0,785274
2013-07-21,92.0,92.0,89.800003,91.599998,839143
2013-07-22,91.599998,97.129997,91.599998,95.559998,2333940
2013-07-23,95.559998,95.989998,92.300003,95.089996,1382398
2013-07-24,95.089996,97.480003,93.57,96.949997,2171816
2013-07-25,96.949997,97.480003,96.0,96.019997,1079418
2013-07-26,96.019997,97.0,93.0,94.400002,1430771
2013-07-27,94.400002,100.580002,94.0,98.779999,4160191
2013-07-28,98.779999,102.849998,98.449997,101.480003,2499727
2013-07-29,101.480003,107.989998,100.470001,107.959999,2893318
2013-07-30,107.959999,111.650002,103.550003,106.209999,4916334
2013-07-31,106.209999,108.0,103.0,104.0,1580804
2013-08-01,104.0,108.0,101.209999,104.5,2893759
2013-08-02,104.5,105.889999,102.0,104.949997,923169
2013-08-03,104.949997,106.0,103.5,105.120003,670427
2013-08-04,105.120003,107.769997,105.0,106.720001,1647464
2013-08-05,106.720001,107.5,105.110001,106.559998,1424757
2013-08-06,106.559998,106.959999,105.220001,105.989998,819975
2013-08-07,105.989998,106.650002,100.959999,103.050003,2481342
2013-08-08,103.050003,105.790001,101.940002,102.800003,1238426
2013-08-09,102.800003,103.900002,102.379997,103.0,411941
2013-08-10,103.0,105.190002,102.699997,105.0,853962
2013-08-11,105.0,108.120003,103.5,106.809998,2131117
2013-08-12,106.809998,109.639999,104.5,109.599998,2014623
2013-08-13,109.599998,115.0,108.0,112.559998,5689765
2013-08-14,112.559998,113.32,108.779999,109.989998,1759713
2013-08-15,109.989998,112.300003,108.209999,108.989998,1484874
2013-08-16,108.989998,114.0,108.230003,112.75,1430522
2013-08-17,112.75,114.690002,112.0,113.379997,1093513
2013-08-18,113.379997,123.75,111.769997,118.5,6273089
2013-08-19,118.5,123.010002,116.82,121.199997,2926824
2013-08-20,121.199997,125.0,119.68,123.300003,3760529
2013-08-21,123.300003,124.489998,120.540001,122.0,1695452
2013-08-22,122.0,122.0,118.440002,118.510002,2324780
2013-08-23,118.510002,121.389999,118.019997,119.599998,1068849
2013-08-24,119.599998,122.989998,119.139999,122.110001,904128
2013-08-25,122.110001,122.970001,119.919998,120.07,1386290
2013-08-26,120.07,133.0,120.0,131.28999299999998,6882690
2013-08-27,131.28999299999998,131.720001,128.020004,128.759995,1627390
2013-08-28,128.759995,131.199997,128.179993,129.300003,1059179
2013-08-29,129.300003,142.759995,128.559998,138.029999,6269713
2013-08-30,138.029999,148.699997,135.889999,141.0,4452962
2013-08-31,141.0,147.28999299999995,141.0,146.009995,2035993
2013-09-01,146.009995,148.5,142.110001,144.0,1546327
2013-09-02,144.0,148.910004,142.199997,144.0,2461257
2013-09-03,144.0,145.800003,130.089996,132.509995,3945752
2013-09-04,132.509995,137.970001,127.239998,130.199997,3561373
2013-09-05,130.199997,134.0,121.900002,121.900002,2435581
2013-09-06,121.900002,131.020004,121.25,128.990005,1796862
2013-09-07,128.990005,129.869995,124.059998,126.32,926689
2013-09-08,126.32,137.479996,124.0,133.100006,3908439
2013-09-09,133.100006,136.020004,131.380005,132.619995,1184452
2013-09-10,132.619995,145.899994,127.5,142.100006,5706218
2013-09-11,142.100006,145.520004,137.509995,139.350006,2886300
2013-09-12,139.350006,145.600006,137.820007,140.660004,2869985
2013-09-13,140.660004,142.0,136.5,136.71000700000002,1237692
2013-09-14,136.71000700000002,141.0,135.03999299999998,138.300003,886151
2013-09-15,138.300003,142.229996,137.899994,139.419998,1480693
2013-09-16,139.419998,141.369995,138.0,139.149994,1344189
2013-09-17,139.149994,142.0,139.009995,140.410004,1328386
2013-09-18,140.410004,141.199997,131.139999,135.050003,2862334
2013-09-19,135.050003,137.279999,131.0,133.809998,1484557
2013-09-20,133.809998,135.990005,132.0,134.380005,682674
2013-09-21,134.380005,135.0,131.0,134.0,782376
2013-09-22,134.0,135.0,132.0,133.399994,799461
2013-09-23,133.399994,136.589996,132.5,134.779999,1148734
2013-09-24,134.779999,138.0,134.699997,135.0,1293657
2013-09-25,135.0,139.0,134.71000700000002,137.100006,886908
2013-09-26,137.100006,142.660004,134.830002,138.929993,3757634
2013-09-27,138.929993,143.0,138.020004,142.5,1918884
2013-09-28,142.5,145.809998,141.360001,143.880005,2611317
2013-09-29,143.880005,145.809998,138.119995,141.899994,2067367
2013-09-30,141.899994,144.440002,139.410004,140.300003,1344565
2013-10-01,140.300003,141.929993,109.699997,123.0,13888930
2013-10-02,123.0,132.0,120.099998,130.990005,4488527
2013-10-03,130.990005,139.800003,128.5,136.820007,2491501
2013-10-04,136.820007,138.0,135.300003,136.699997,679668
2013-10-05,136.699997,138.0,134.100006,137.800003,665512
2013-10-06,137.800003,139.0,135.119995,135.800003,1006277
2013-10-07,135.800003,137.779999,135.649994,136.490005,707471
2013-10-08,136.490005,142.100006,135.800003,139.5,2431349
2013-10-09,139.5,141.690002,138.509995,140.410004,1551392
2013-10-10,140.410004,141.850006,138.869995,140.100006,1013106
2013-10-11,140.100006,143.050003,139.389999,142.889999,1559472
2013-10-12,142.889999,147.649994,141.5,147.529999,2342049
2013-10-13,147.529999,153.690002,146.029999,151.369995,4512823
2013-10-14,151.369995,158.100006,150.619995,158.089996,2416464
2013-10-15,158.089996,162.990005,144.199997,152.820007,6636228
2013-10-16,152.820007,159.940002,150.75,157.589996,2470394
2013-10-17,157.589996,168.28999299999995,156.490005,168.279999,4225505
2013-10-18,168.279999,195.800003,167.080002,183.149994,10000685
2013-10-19,183.149994,186.100006,177.240005,186.100006,2087108
2013-10-20,186.100006,197.369995,183.179993,192.779999,4613540
2013-10-21,192.779999,205.5,192.789993,202.990005,6761835
2013-10-22,202.990005,227.979996,200.699997,227.970001,8526441
2013-10-23,227.970001,233.380005,175.300003,206.979996,19649229
2013-10-24,206.979996,208.970001,176.600006,197.880005,6934330
2013-10-25,197.880005,198.410004,186.990005,188.559998,2322934
2013-10-26,188.559998,207.809998,188.949997,206.910004,2633454
2013-10-28,206.910004,209.789993,200.419998,206.899994,2287257
2013-10-29,206.899994,216.5,204.199997,216.0,2119311
2013-10-30,216.0,216.490005,203.990005,208.0,2853902
2013-10-31,208.0,214.990005,205.429993,211.169998,1121246
2013-11-01,211.169998,214.949997,209.710007,213.429993,1251780
2013-11-02,213.429993,214.860001,211.0,211.690002,1041300
2013-11-03,211.690002,226.949997,212.100006,224.0,2694954
2013-11-04,224.0,238.979996,221.949997,238.160004,4167915
2013-11-05,238.160004,258.869995,229.0,251.300003,11094612
2013-11-06,251.300003,272.519989,251.410004,264.100006,10223786
2013-11-07,264.100006,324.209991,263.600006,309.649994,25582885
2013-11-08,309.649994,358.0,308.01001,355.0,15072022
2013-11-09,355.0,394.98999,339.98999,367.790009,18427776
2013-11-10,367.790009,372.519989,289.959991,336.320007,24225281
2013-11-11,336.320007,375.98999,321.410004,362.980011,6330618
2013-11-12,362.980011,391.790009,358.970001,380.040009,8309810
2013-11-13,380.040009,444.970001,372.170013,434.850006,14780190
2013-11-14,434.850006,447.48999,402.540009,433.39999400000005,13453174
2013-11-15,433.39999400000005,457.920013,412.970001,433.920013,12273745
2013-11-16,433.920013,476.940002,427.9800110000001,461.959991,8737836
2013-11-17,461.959991,536.75,456.9800110000001,528.299988,13340495
2013-11-18,528.299988,787.929993,521.97998,785.429993,45461600
2013-11-19,785.429993,900.919983,502.609985,645.6900019999998,69095497
2013-11-20,645.6900019999998,649.98999,453.290009,637.969971,50748177
2013-11-21,637.969971,784.320007,595.1900019999998,764.909973,27128283
2013-11-22,764.909973,821.98999,682.280029,802.0,22686962
2013-11-23,802.0,890.0300289999999,799.539978,832.5,17908081
2013-11-24,832.5,854.98999,745.210022,795.01001,20776035
2013-11-25,795.01001,849.98999,758.950012,829.98999,21438670
2013-11-26,829.98999,974.960022,825.080017,969.960022,28285852
2013-11-27,969.960022,1094.780029,914.27002,1079.890015,37868643
2013-11-28,1079.890015,1224.47998,1032.060059,1101.380005,42912383
2013-11-29,1101.380005,1241.920044,1049.959961,1206.930054,45030632
2013-11-30,1206.930054,1232.939941,1150.160034,1205.660034,18266602
2013-12-01,1205.660034,1216.839966,840.2700199999998,1004.390015,83244488
2013-12-02,1004.390015,1117.72998,974.969971,1096.560059,39234863
2013-12-03,1096.560059,1185.630005,1064.910034,1154.859985,21865760
2013-12-04,1154.859985,1239.699951,1131.349976,1237.550049,19409766
2013-12-05,1237.550049,1239.859985,869.98999,1106.349976,62292919
2013-12-06,1106.349976,1118.930054,800.070007,845.0200199999998,50747162
2013-12-07,845.0200199999998,895.9600220000002,576.030029,697.02002,70727083
2013-12-08,697.02002,828.960022,653.030029,803.960022,23044397
2013-12-09,803.960022,980.030029,787.72998,918.950012,24553208
2013-12-10,918.950012,1067.699951,911.960022,1033.719971,21734994
2013-12-11,1033.719971,1056.76001,856.0599980000002,919.929993,23051224
2013-12-12,919.929993,940.97998,839.51001,899.9799800000002,8798283
2013-12-13,899.9799800000002,989.890015,882.1099849999998,936.77002,16173632
2013-12-14,936.77002,947.929993,875.1099849999998,908.940002,10532106
2013-12-15,908.940002,927.900024,837.97998,919.880005,13302074
2013-12-16,919.880005,924.940002,714.030029,759.919983,32899151
2013-12-17,759.919983,779.960022,678.880005,714.969971,22933905
2013-12-18,714.969971,716.98999,454.859985,540.97998,62529030
2013-12-19,540.97998,745.960022,522.4400019999998,731.950012,29980041
2013-12-20,731.950012,774.3900150000002,621.25,649.960022,24291048
2013-12-21,649.960022,690.0,610.0,640.47998,9550420
2013-12-22,640.47998,699.909973,614.950012,639.48999,7693603
2013-12-23,639.48999,724.919983,631.01001,713.23999,10210388
2013-12-24,713.23999,729.9400019999998,665.97998,702.75,7647250
2013-12-25,702.75,709.950012,673.929993,707.25,3721814
2013-12-26,707.25,829.630005,707.210022,801.97998,18209291
2013-12-27,801.97998,836.830017,767.869995,803.049988,11073604
2013-12-28,803.049988,805.969971,715.599976,761.98999,10127883
2013-12-29,761.98999,803.950012,734.97998,784.960022,5448579
2013-12-30,784.960022,818.830017,780.960022,804.830017,8411786
2013-12-31,804.830017,813.9400019999998,776.960022,805.9400019999998,7294004
2014-01-01,805.9400019999998,829.929993,770.969971,815.9400019999998,8663855
2014-01-02,815.9400019999998,886.2100220000002,810.469971,856.909973,10826907
2014-01-03,856.909973,888.2299800000002,839.4400019999998,884.26001,8409629
2014-01-04,884.26001,932.159973,848.320007,924.690002,12784626
2014-01-05,924.690002,1029.859985,911.359985,1014.73999,20789364
2014-01-06,1014.73999,1093.439941,964.73999,1012.650024,23622237
2014-01-07,1012.650024,1043.97998,879.849976,879.900024,21753921
2014-01-08,879.900024,966.900024,858.900024,938.840027,12942254
2014-01-09,938.840027,964.640015,866.5499880000001,936.950012,13202619
2014-01-10,936.950012,964.840027,905.880005,957.76001,5909107
2014-01-11,957.76001,1010.840027,935.0,1005.320007,10948175
2014-01-12,1005.320007,1022.669983,922.070007,939.789978,9620090
2014-01-13,939.789978,949.23999,879.9400019999998,922.909973,9220891
2014-01-14,922.909973,942.469971,904.190002,919.280029,3960633
2014-01-15,919.280029,973.090027,915.059998,941.219971,6448062
2014-01-16,941.219971,955.530029,910.5,913.48999,4720008
2014-01-17,913.48999,929.75,867.2199710000001,894.159973,9203107
2014-01-18,894.159973,924.73999,884.73999,905.719971,5493742
2014-01-19,905.719971,958.070007,901.880005,954.799988,7071649
2014-01-20,954.799988,980.539978,925.960022,955.950012,9981282
2014-01-21,955.950012,974.25,943.179993,962.210022,6289022
2014-01-22,962.210022,973.940002,934.950012,950.950012,4503428
2014-01-23,950.950012,958.059998,936.27002,944.159973,1839615
2014-01-24,944.159973,949.52002,902.890015,916.549988,5684047
2014-01-25,916.549988,978.409973,915.859985,961.049988,7797108
2014-01-26,961.049988,1038.060059,950.659973,1007.0,13054605
2014-01-27,1007.0,1021.450012,937.22998,943.539978,8052715
2014-01-28,943.539978,972.609985,911.650024,932.679993,9757613
2014-01-29,932.679993,950.559998,918.859985,925.669983,5254878
2014-01-30,925.669983,953.23999,909.460022,941.390015,5026461
2014-01-31,941.390015,954.710022,924.590027,938.849976,4024749
2014-02-01,938.849976,969.190002,927.799988,940.419983,4118865
2014-02-02,940.419983,959.380005,934.409973,953.309998,1495327
2014-02-03,953.309998,959.580017,931.669983,931.710022,2601784
2014-02-04,931.710022,949.099976,900.76001,926.640015,4250751
2014-02-05,926.640015,939.75,890.0499880000001,904.52002,6865987
2014-02-06,904.52002,908.77002,800.929993,828.869995,15719958
2014-02-07,828.869995,833.070007,651.72998,695.650024,36412212
2014-02-08,695.650024,719.26001,632.080017,648.780029,15503790
2014-02-09,648.780029,694.119995,622.530029,659.570007,13186251
2014-02-10,659.570007,700.039978,500.040009,582.630005,24334044
2014-02-11,582.630005,609.710022,550.219971,578.960022,9621820
2014-02-12,578.960022,585.119995,511.89999400000005,531.130005,11628634
2014-02-13,531.130005,549.200012,451.329987,451.440002,14394464
2014-02-14,451.440002,500.029999,302.179993,427.679993,25084223
2014-02-15,427.679993,447.940002,310.079987,371.070007,18299075
2014-02-16,371.070007,540.030029,220.369995,299.799988,26267622
2014-02-17,299.799988,411.209991,263.359985,272.27999900000003,16532226
2014-02-18,272.27999900000003,370.119995,248.309998,293.950012,14130126
2014-02-19,293.950012,308.630005,257.23999,261.52999900000003,8618299
2014-02-20,261.52999900000003,271.609985,109.220001,111.919998,16608347
2014-02-21,111.919998,160.149994,91.660004,111.559998,10115923
2014-02-22,111.559998,290.589996,96.720001,255.589996,11838225
2014-02-23,255.589996,349.149994,220.309998,310.170013,11158706
2014-02-24,310.170013,316.880005,131.850006,174.0,17929284
2014-02-25,174.0,174.639999,102.330002,135.779999,3993023
2014-02-26,135.779999,650.0,522.840027,593.1400150000002,383571
2014-02-27,593.1400150000002,629.900024,580.5,596.48999,322887
2014-02-28,596.48999,599.0,570.0,573.9400019999998,321170
2014-03-01,573.9400019999998,564.070007,262.769989,557.3900150000002,250331
2014-03-02,557.3900150000002,562.929993,541.539978,544.5599980000002,469498
2014-03-03,544.5599980000002,695.4400019999998,545.419983,662.179993,794976
2014-03-04,662.179993,686.219971,645.159973,661.849976,947328
2014-03-05,661.849976,665.969971,636.77002,658.299988,855787
2014-03-06,658.299988,661.830017,636.219971,648.26001,1367401
2014-03-07,648.26001,655.200012,600.3099980000002,616.72998,1498290
2014-03-08,616.72998,625.679993,588.580017,609.210022,1335982
2014-03-09,609.210022,637.599976,598.51001,627.049988,1209993
